,year,Amy Cuddy,Bren? Brown,Dan Gilbert,Hans Rosling,James Veitch,Jill Bolte Taylor,Julian Treasure,Ken Robinson,Mary Roach,Simon Sinek
0,2006,0,0,14689301,12005869,0,0,0,47227110,0,0
1,2007,0,0,14689301,15249653,0,0,0,47227110,0,0
2,2008,0,0,18396567,15249653,0,21190883,0,47227110,0,0
3,2009,0,0,18396567,19363574,0,21190883,1557795,47227110,22270883,0
4,2010,0,31168150,18396567,23036731,0,21190883,2705404,56348423,22270883,34309432
5,2011,0,31168150,18396567,25428708,0,21190883,8107632,56348423,22270883,34309432
6,2012,43155405,39157044,18396567,27567127,0,21190883,9333027,56348423,22270883,34309432
7,2013,43155405,39157044,18396567,27567127,0,21190883,9333027,63006281,22270883,34309432
8,2014,43155405,39157044,21796454,27567127,0,21190883,30927659,63006281,22270883,41113370
9,2016,43155405,39157044,21796454,27567127,26187805,21190883,30927659,63006281,22270883,41113370
